text,paragraph,pred,label,prob,anger,disgust,fear,joy,neutral,sadness,surprise
﻿CHAPTER I. Mrs. Rachel Lynde Is Surprised,0,6,surprise,0.9007955193519592,0.0027487818151712418,0.0004917385522276163,0.01660122349858284,0.034543342888355255,0.00692093325778842,0.037898484617471695,0.9007955193519592
" MRS. Rachel Lynde lived just where the Avonlea main road dipped down into a little hollow, fringed with alders and ladies’ eardrops and traversed by a brook that had its source away back in the woods of the old Cuthbert place; it was reputed to be an intricate, headlong brook in its earlier course through those woods, with dark secrets of pool and cascade; but by the time it reached Lynde’s Hollow it was a quiet, well-conducted little stream, for not even a brook could run past Mrs. Rachel Lynde’s door without due regard for decency and decorum; it probably was conscious that Mrs. Rachel was sitting at her window, keeping a sharp eye on everything that passed, from brooks and children up, and that if she noticed anything odd or out of place she would never rest until she had ferreted out the whys and wherefores thereof.",1,4,neutral,0.3554464876651764,0.10059116035699844,0.09925422817468643,0.23803192377090454,0.011613499373197556,0.3554464876651764,0.10149192810058594,0.09357079863548279
"There are plenty of people, in Avonlea and out of it, who can attend closely to their neighbors’ business by dint of neglecting their own; but Mrs. Rachel Lynde was one of those capable creatures who can manage their own concerns and those of other folks into the bargain.",2,4,neutral,0.8390153646469116,0.011294018477201462,0.061320990324020386,0.003160060616210103,0.012110387906432152,0.8390153646469116,0.05197551101446152,0.02112361416220665
"She was a notable housewife; her work was always done and well done; she “ran” the Sewing Circle, helped run the Sunday-school, and was the strongest prop of the Church Aid Society and Foreign Missions Auxiliary.",2,4,neutral,0.5932824015617371,0.011945696547627449,0.04265005141496658,0.009489702060818672,0.29533353447914124,0.5932824015617371,0.03391236066818237,0.013386358506977558
"Yet with all this Mrs. Rachel found abundant time to sit for hours at her kitchen window, knitting “cotton warp” quilts--she had knitted sixteen of them, as Avonlea housekeepers were wont to tell in awed voices--and keeping a sharp eye on the main road that crossed the hollow and wound up the steep red hill beyond.",2,2,fear,0.38616257905960083,0.05908743292093277,0.07627330720424652,0.38616257905960083,0.01906171441078186,0.24104520678520203,0.0940779522061348,0.12429176270961761
"Since Avonlea occupied a little triangular peninsula jutting out into the Gulf of St. Lawrence, with water on two sides of it, anybody who went out of it or into it had to pass over that hill road and so run the unseen gauntlet of Mrs. Rachel’s all-seeing eye.",2,2,fear,0.5527108907699585,0.05699930340051651,0.09350806474685669,0.5527108907699585,0.009605566039681435,0.22955796122550964,0.01839520037174225,0.03922303766012192
She was sitting there one afternoon in early June.,3,4,neutral,0.5639218091964722,0.016637541353702545,0.07743393629789352,0.040187474340200424,0.018656615167856216,0.5639218091964722,0.026517219841480255,0.25664544105529785
"The sun was coming in at the window warm and bright; the orchard on the slope below the house was in a bridal flush of pinky-white bloom, hummed over by a myriad of bees.",3,4,neutral,0.4702211916446686,0.010275510139763355,0.02483387663960457,0.0031712024938315153,0.406480073928833,0.4702211916446686,0.016291823238134384,0.06872634589672089
Thomas Lynde--a meek little man whom Avonlea people called “Rachel Lynde’s husband”--was sowing his late turnip seed on the hill field beyond the barn; and Matthew Cuthbert ought to have been sowing his on the big red brook field away over by Green Gables.,3,3,joy,0.4073614478111267,0.021694447845220566,0.15778326988220215,0.022366739809513092,0.4073614478111267,0.20621508359909058,0.15192653238773346,0.03265250846743584
Mrs. Rachel knew that he ought because she had heard him tell Peter Morrison the evening before in William J. Blair’s store over at Carmody that he meant to sow his turnip seed the next afternoon.,3,4,neutral,0.6694822311401367,0.06338319182395935,0.14456386864185333,0.015784846618771553,0.011543086729943752,0.6694822311401367,0.03308781236410141,0.06215497851371765
"Peter had asked him, of course, for Matthew Cuthbert had never been known to volunteer information about anything in his whole life.",3,4,neutral,0.9410756230354309,0.0072083924897015095,0.011378304101526737,0.005367251578718424,0.003196125151589513,0.9410756230354309,0.007653331384062767,0.024120839312672615
"And yet here was Matthew Cuthbert, at half-past three on the afternoon of a busy day, placidly driving over the hollow and up the hill; moreover, he wore a white collar and his best suit of clothes, which was plain proof that he was going out of Avonlea; and he had the buggy and the sorrel mare, which betokened that he was going a considerable distance.",4,4,neutral,0.449166864156723,0.019990138709545135,0.04563388600945473,0.08421123027801514,0.24378375709056854,0.449166864156723,0.0373774953186512,0.11983668804168701
"Now, where was Matthew Cuthbert going and why was he going there?",4,6,surprise,0.4668770730495453,0.08499704301357269,0.032444026321172714,0.01573030836880207,0.0016413137782365084,0.39291226863861084,0.00539800152182579,0.4668770730495453
"Had it been any other man in Avonlea, Mrs. Rachel, deftly putting this and that together, might have given a pretty good guess as to both questions.",5,4,neutral,0.9474157094955444,0.00487262150272727,0.006824948824942112,0.005187254399061203,0.00848205666989088,0.9474157094955444,0.0035367156378924847,0.023680778220295906
But Matthew so rarely went from home that it must be something pressing and unusual which was taking him; he was the shyest man alive and hated to have to go among strangers or to any place where he might have to talk.,5,2,fear,0.4823838472366333,0.006135168019682169,0.04964103922247887,0.4823838472366333,0.0036710016429424286,0.428265780210495,0.015622491016983986,0.014280617237091064
"Matthew, dressed up with a white collar and driving in a buggy, was something that didn’t happen often.",5,4,neutral,0.65220707654953,0.012680763378739357,0.18302492797374725,0.013004672713577747,0.0036622118204832077,0.65220707654953,0.007006809115409851,0.12841351330280304
"Mrs. Rachel, ponder as she might, could make nothing of it and her afternoon’s enjoyment was spoiled.",5,4,neutral,0.8244420289993286,0.009038715623319149,0.011470776051282883,0.0009256777702830732,0.1278463453054428,0.8244420289993286,0.019288072362542152,0.006988385692238808
"“I’ll just step over to Green Gables after tea and find out from Marilla where he’s gone and why,” the worthy woman finally concluded.",6,4,neutral,0.9452650547027588,0.005303953308612108,0.005364407319575548,0.0011256237048655748,0.03022516518831253,0.9452650547027588,0.004384665284305811,0.008331241086125374
“He doesn’t generally go to town this time of year and he _never_ visits; if he’d run out of turnip seed he wouldn’t dress up and take the buggy to go for more; he wasn’t driving fast enough to be going for a doctor.,6,4,neutral,0.742637038230896,0.015362247824668884,0.015303492546081543,0.014808926731348038,0.00271650031208992,0.742637038230896,0.13072587549686432,0.07844586670398712
Yet something must have happened since last night to start him off.,6,4,neutral,0.7151521444320679,0.023782724514603615,0.03880344703793526,0.04075288027524948,0.002848052652552724,0.7151521444320679,0.01601468399167061,0.16264608502388
"I’m clean puzzled, that’s what, and I won’t know a minute’s peace of mind or conscience until I know what has taken Matthew Cuthbert out of Avonlea today.”",6,6,surprise,0.5274237990379333,0.014325964264571667,0.007246165070682764,0.0183087345212698,0.005157620646059513,0.36795637011528015,0.05958137661218643,0.5274237990379333
"Accordingly after tea Mrs. Rachel set out; she had not far to go; the big, rambling, orchard-embowered house where the Cuthberts lived was a scant quarter of a mile up the road from Lynde’s Hollow.",7,4,neutral,0.5242829918861389,0.050490934401750565,0.11105354875326157,0.08814789354801178,0.06614366918802261,0.5242829918861389,0.04874229058623314,0.11113865673542023
"To be sure, the long lane made it a good deal further.",7,4,neutral,0.5419566631317139,0.005541329737752676,0.01467413455247879,0.0014402293600142002,0.42101815342903137,0.5419566631317139,0.006964122410863638,0.008405367843806744
"Matthew Cuthbert’s father, as shy and silent as his son after him, had got as far away as he possibly could from his fellow men without actually retreating into the woods when he founded his homestead.",7,2,fear,0.4872015118598938,0.013136075809597969,0.014340255409479141,0.4872015118598938,0.07651674002408981,0.3844197392463684,0.01340392604470253,0.010981721803545952
"Green Gables was built at the furthest edge of his cleared land and there it was to this day, barely visible from the main road along which all the other Avonlea houses were so sociably situated.",7,4,neutral,0.4734424948692322,0.052504848688840866,0.0829479768872261,0.08808564394712448,0.14674662053585052,0.4734424948692322,0.03124077245593071,0.12503167986869812
Mrs. Rachel Lynde did not call living in such a place _living_ at all.,7,4,neutral,0.9046195149421692,0.006917145103216171,0.022084195166826248,0.006481120362877846,0.0033744731917977333,0.9046195149421692,0.022553054615855217,0.03397054597735405
"“It’s just _staying_, that’s what,” she said as she stepped along the deep-rutted, grassy lane bordered with wild rose bushes.",8,4,neutral,0.7324519157409668,0.045952074229717255,0.071405328810215,0.04461311921477318,0.020602434873580933,0.7324519157409668,0.04511112719774246,0.039864033460617065
"“It’s no wonder Matthew and Marilla are both a little odd, living away back here by themselves.",8,4,neutral,0.5933708548545837,0.005884177517145872,0.14566844701766968,0.029911231249570847,0.004643288906663656,0.5933708548545837,0.028581945225596428,0.19193997979164124
"Trees aren’t much company, though dear knows if they were there’d be enough of them.",8,4,neutral,0.9055934548377991,0.004815833177417517,0.013363486155867577,0.0018434716621413827,0.006115770433098078,0.9055934548377991,0.01590033620595932,0.05236773565411568
I’d ruther look at people.,8,1,disgust,0.7100485563278198,0.040056757628917694,0.7100485563278198,0.0732206478714943,0.0052890111692249775,0.15831181406974792,0.007382072973996401,0.005691108293831348
"To be sure, they seem contented enough; but then, I suppose, they’re used to it.",8,3,joy,0.4890902638435364,0.04384290799498558,0.057804711163043976,0.0016565689584240317,0.4890902638435364,0.3851187825202942,0.019403567537665367,0.003083206480368972
"A body can get used to anything, even to being hanged, as the Irishman said.”",8,1,disgust,0.7691476345062256,0.04624629020690918,0.7691476345062256,0.01863219402730465,0.0041627115570008755,0.14566010236740112,0.013573374599218369,0.0025776487309485674
With this Mrs. Rachel stepped out of the lane into the backyard of Green Gables.,9,2,fear,0.6028850674629211,0.07654321193695068,0.09324787557125092,0.6028850674629211,0.009254278615117073,0.11647605895996094,0.010359518229961395,0.09123394638299942
"Very green and neat and precise was that yard, set about on one side with great patriarchal willows and on the other with prim Lombardies.",9,4,neutral,0.8521361351013184,0.01191936619579792,0.03615777939558029,0.001895513734780252,0.059587810188531876,0.8521361351013184,0.01588675193488598,0.022416623309254646
"Not a stray stick nor stone was to be seen, for Mrs. Rachel would have seen it if there had been.",9,4,neutral,0.8528091907501221,0.02429877780377865,0.07694297283887863,0.011226574890315533,0.0029884185642004013,0.8528091907501221,0.010515929199755192,0.021218109875917435
Privately she was of the opinion that Marilla Cuthbert swept that yard over as often as she swept her house.,9,4,neutral,0.557511568069458,0.032998405396938324,0.3714560866355896,0.009646624326705933,0.0018568048253655434,0.557511568069458,0.018658725544810295,0.007871783338487148
One could have eaten a meal off the ground without overbrimming the proverbial peck of dirt.,9,1,disgust,0.9225786328315735,0.013473901897668839,0.9225786328315735,0.0028787474147975445,0.0007042352226562798,0.05162227898836136,0.00726025877520442,0.001482075429521501
